Que signifie l'acronyme DCI en pharmacologie ?,Dénomination commune internationale
"Dans l'exemple « metformine = Glucophage », quel terme correspond au nom de spécialité (princeps) ?",Glucophage
"Dans l'exemple « suxaméthonium = Célocurine », quel terme correspond à la DCI ?",Suxaméthonium
Quel autre nom est couramment utilisé pour la DCI suxaméthonium ?,Succinylcholine
Définition : Pharmacocinétique,Étude du devenir d’un médicament introduit dans l’organisme.
Définition : Pharmacodynamie,Étude de l’action du médicament sur l'organisme.
Comment appelle-t-on l'effet d'un médicament qui constitue l'objectif thérapeutique ?,L'effet principal
Comment appelle-t-on les effets non recherchés d'un médicament ?,Les effets secondaires
Donnez un exemple de médicament ayant une action de prévention de la maladie.,Les vaccins (ou traitement antirétroviral après exposition au VIH).
Donnez un exemple de médicament utilisé pour une action de substitution.,L'insuline (ou les vitamines).
Le curare et les hypnotiques sont classés dans quelle catégorie d'action pharmacodynamique ?,L'action symptomatique (blocage d'un fonctionnement physiologique).
L'utilisation d'un antibiotique pour traiter une infection bactérienne est un exemple d'_____.,Action curative
Quel est l'effet principal recherché lors de l'administration d'atropine pour le cœur ?,Accélérer le rythme cardiaque.
Citez deux effets secondaires fréquents de l'atropine.,Assèchement des muqueuses et ralentissement du transit.
Quel est l'effet secondaire de la morphine sur le système respiratoire ?,Diminution de la fréquence respiratoire.
Citez trois effets secondaires digestifs ou urinaires de la morphine.,"Troubles du transit, nausées/vomissements et rétention d’urine."
Vrai ou Faux : Les effets secondaires sont toujours dépendants de la posologie.,Faux (ex : AINS chez la femme enceinte).
Quel paramètre biologique doit être monitoré lors d'un traitement par AVK ?,L'INR
Quelles sont les deux toxicités majeures à surveiller lors de l'utilisation de la gentamicine ?,La néphrotoxicité et l'ototoxicité.
Définition : Biodisponibilité,Quantité de médicament qui se retrouve dans la circulation générale.
Citez deux avantages majeurs de la voie intraveineuse (IV).,Rapidité d’action et contrôle précis de la quantité atteignant la circulation.
