Comment le support définit-il la notion de 'RISQUE' ?,Un danger ou inconvénient plus ou moins probable auquel on est exposé.
Quel est le but de la démarche de gestion des risques selon la HAS ?,Assurer la sécurité du patient et des soins en diminuant les évènements indésirables.
Étymologie : Que signifie le terme latin 'vigilare' dans le contexte sanitaire ?,Avoir une fonction de veille et d'observations.
Définition : Les vigilances sanitaires,"Une veille permanente pour le signalement, le traitement et l’investigation des évènements indésirables."
Principe de sécurité sanitaire : Intervenir dès que les risques peuvent l'emporter sur les bénéfices est le principe de _____.,Précaution
Principe de sécurité sanitaire : La condition d'une alerte précoce est la _____.,Transparence
Principe de sécurité sanitaire : L'indépendance doit être garantie par rapport aux intérêts _____.,Économiques
Principe du dispositif de veille : Les agences de sécurité sanitaire doivent posséder une autonomie juridique et _____.,Financière
Quel est l'objectif principal de la Loi 93-535 du 1er juillet 1998 ?,Le renforcement de la veille sanitaire et du contrôle de la sécurité sanitaire des produits destinés à l'Homme.
Quelle loi de 2016 est responsable de la modernisation du système de santé français ?,Loi 2016-41 du 26 janvier 2016.
Quelles entités sont responsables de l'organisation et de la couverture territoriale des vigilances sanitaires depuis 2016 ?,Les ARS et l'ANSM.
Que signifie l'acronyme SRA dans le cadre des ARS ?,Structure Régionale d'Appui.
Quel est le rôle d'une Structure Régionale d'Appui (SRA) ?,Apporter une expertise et un appui à la gestion et à la qualité des soins.
"Dans un établissement de santé, à quelle logique obéit en premier lieu la mise en œuvre des vigilances ?",Une logique de conformité avec la réglementation.
Sur quelle notion de responsabilité l'engagement des établissements de santé reste-t-il principalement fondé ?,L'obligation de moyens.
Quelle crise sanitaire a mené à la création de l'Agence du médicament (puis AFSSAPS/ANSM) ?,La crise du sang contaminé et de l'hormone de croissance.
Quelle agence a été créée suite à la crise de l'ESB (vache folle) pour la sécurité alimentaire ?,L'AFSSA (intégrée plus tard à l'ANSES).
Évolution organisationnelle : Quelle agence gère l'évaluation des risques liés à Tchernobyl aujourd'hui ?,L'IRSN (Institut de Radioprotection et de Sûreté Nucléaire).
Quelle structure historique est à l'origine de l'actuelle Santé Publique France (InVS) pour la surveillance épidémiologique ?,Le RNSP (Réseau National de Santé Publique).
Quel événement sanitaire a provoqué l'extension des compétences de l'InVS aux cellules régionales (CIRE) ?,La canicule.
Quelle agence est née suite aux problèmes de pénurie de greffons et de déficit des greffes ?,L'Agence de la Biomédecine (ABM).
Quel organisme est chargé de l'indemnisation des victimes d'aléas thérapeutiques ou d'infections nosocomiales ?,L'ONIAM.
Vigilance réglementaire : La surveillance des médicaments et de leurs effets indésirables s'appelle la _____.,Pharmacovigilance
Vigilance réglementaire : Quel domaine est couvert par l'Hémovigilance ?,Les produits sanguins.
Vigilance réglementaire : Quelle vigilance concerne les dispositifs médicaux (DM) ?,La Matériovigilance.
Vigilance réglementaire : Quel est l'objet de la Réactovigilance ?,Les dispositifs médicaux de diagnostic in vitro (DMDIV).
Vigilance réglementaire : La surveillance des intoxications aiguës et chroniques est la _____.,Toxicovigilance
Vigilance réglementaire : Quelle vigilance traite des infections associées aux soins ?,L'Infectiovigilance.
"Vigilance réglementaire : Les produits humains pour greffe (organes, tissus, cellules) relèvent de la _____.",Biovigilance
Vigilance réglementaire : La Radiovigilance surveille l'exposition aux _____.,Rayonnements ionisants.
