Quels sont les quatre composants du système nerveux central (SNC) ?,"Le cerveau, le cervelet, le tronc cérébral et la moëlle épinière."
De quoi est composé le système nerveux périphérique (SNP) ?,"De 12 paires de nerfs crâniens, 31 paires de nerfs rachidiens et des ganglions."
Citez les trois couches des méninges de la plus externe à la plus interne.,"La dure-mère, l'arachnoïde et la pie-mère."
Quelle est la particularité sensorielle de la dure-mère par rapport au reste du cerveau ?,C'est la seule partie qui contient des récepteurs à la douleur.
Quelle structure sépare les deux hémisphères cérébraux ?,La faux du cerveau (logée dans la fissure longitudinale).
Quelle membrane de la dure-mère sépare le cerveau du cervelet ?,La tente du cervelet.
Quelle est la fonction principale des granulations arachnoïdiennes ?,Permettre le drainage continu du liquide cérébrospinal (LCR) vers le système veineux.
Quel espace se situe entre l'arachnoïde et la pie-mère ?,L'espace sous-arachnoïdien.
Quelle méninge adhère directement à la surface du système nerveux central ?,La pie-mère.
Où se situe l'espace extra-dural ?,Entre le crâne et la dure-mère.
Quel liquide circule dans l'espace sous-dural ?,Une petite quantité de liquide ressemblant à de la lymphe.
Quel pourcentage de la consommation totale d'oxygène ($VO_2$) le cerveau utilise-t-il ?,Environ $20\%$.
Pourquoi le cerveau est-il extrêmement dépendant du débit sanguin constant ?,Car il ne possède quasiment aucune capacité de stockage de glucose et d'oxygène.
Quelle est la fonction principale de la substance blanche ?,Le transport de l'influx nerveux.
Quelle est la fonction principale de la substance grise ?,Le traitement de l'information.
Citez les quatre lobes de chaque hémisphère cérébral.,"Frontal, pariétal, temporal et occipital."
Quel lobe cérébral est le siège du raisonnement et de la coordination motrice volontaire ?,Le lobe frontal.
Quelles sont les fonctions associées au lobe temporal ?,"L'audition, la compréhension du langage et la mémorisation."
Quel lobe est responsable de la conscience du corps et du toucher ?,Le lobe pariétal.
Quelle est la fonction majeure du lobe occipital ?,L'interprétation des stimuli visuels.
Quelle structure relie les deux hémisphères cérébraux ?,Le corps calleux.
Quelle cavité se trouve au centre du diencéphale ?,Le troisième ventricule ($3^e$ ventricule).
Quel est le rôle du thalamus ?,"Il reçoit, trie et analyse les informations sensitives avant de les transmettre au cortex."
Quelles fonctions sont régulées par l'hypothalamus ?,"Le système nerveux végétatif, la température, la soif et les sécrétions hormonales hypophysaires."
Quelle hormone est sécrétée par l'épiphyse (glande pinéale) ?,La mélatonine.
Où se situe l'hypophyse anatomiquement ?,"Dans la selle turcique de l'os sphénoïde, sous le chiasma optique."
Citez trois hormones produites par l'anté-hypophyse.,"L'hormone de croissance (GH), la prolactine (PRL) et la thyréostimuline (TSH)."
Quelle hormone est stockée par la post-hypophyse ?,L'hormone antidiurétique (ADH) ou vasopressine.
Qu'est-ce que le diabète insipide central ?,Un défaut de production de l'hormone antidiurétique (ADH).
Quelles sont les fonctions principales du cervelet ?,"Le contrôle de la fonction motrice, de la posture, de l'équilibre et de la coordination temporelle."
Quelles sont les trois parties du tronc cérébral ?,"Le mésencéphale, le pont (ou pont de Varole) et le bulbe rachidien."
Quelles fonctions vitales sont contrôlées par le tronc cérébral ?,"La respiration, la pression artérielle, le rythme cardiaque et la conscience."
Où est sécrété le liquide cérébrospinal (LCR) ?,Dans les ventricules cérébraux par les plexus choroïdes.
Quel est le volume total de LCR chez l'adulte ?,Environ $150\text{ ml}$.
À quelle fréquence la totalité du LCR est-elle renouvelée ?,Toutes les $12$ heures.
Quelles artères assurent la vascularisation antérieure du cerveau ?,Les deux artères carotides internes.
Quelles artères forment le tronc basilaire pour la vascularisation postérieure ?,Les deux artères vertébrales.
Quelle structure artérielle permet une suppléance sanguine entre les différents territoires cérébraux ?,Le polygone de Willis.
Comment le sang veineux cérébral est-il principalement drainé hors du crâne ?,Par les veines jugulaires internes.
Quel est le rôle du nerf crânien I (Olfactif) ?,Véhiculer l'odorat (sensoriel).
Quel nerf crânien est responsable de la vision ?,Le nerf optique (II).
Quelles sont les trois branches du nerf trijumeau (V) ?,"Le nerf ophtalmique, le nerf maxillaire et le nerf mandibulaire."
Quel nerf crânien contrôle l'expression faciale et les glandes salivaires ?,Le nerf facial (VII).
Quel est le rôle du nerf vague (X) ?,"Régulation végétative (digestion, fréquence cardiaque) et phonation."
Quel nerf crânien innerve les muscles de la langue ?,Le nerf hypoglosse (XII).
Combien y a-t-il de vertèbres cervicales ?,$7$ (notées de C1 à C7).
Quels sont les noms spécifiques des vertèbres C1 et C2 ?,L'atlas (C1) et l'axis (C2).
Jusqu'à quel niveau vertébral s'étend généralement la moëlle épinière ?,Jusqu'à la deuxième vertèbre lombaire (L2).
De combien de paires de nerfs rachidiens dispose l'être humain ?,$31$ paires.
Quel plexus nerveux innerve le diaphragme ?,Le plexus cervical (C1 à C4).
Quel plexus est responsable de l'innervation du membre supérieur ?,Le plexus brachial (C5 à T1).
Qu'est-ce que la voie pyramidale ?,Le support de la motricité volontaire transmettant la commande du cortex à la moëlle.
Qu'est-ce qu'un arc réflexe ?,Une réponse motrice involontaire déclenchée sans intervention du cerveau.
Comment évoluent les réflexes lors d'une lésion du motoneurone supérieur ?,Les réflexes augmentent (hyperréflexie).
Comment évoluent les réflexes lors d'une atteinte du motoneurone inférieur ?,Les réflexes diminuent ou sont abolis (hyporéflexie ou aréflexie).
"Selon la doctrine de Monro-Kellie, quels sont les trois volumes incompressibles du crâne ?","Le parenchyme cérébral ($80\%$), le LCR ($10\%$) et le sang ($9-10\%$)."
Quelle est la formule de la Pression de Perfusion Cérébrale (PPC) ?,"$PPC = PAM - PIC$ (PAM : Pression Artérielle Moyenne, PIC : Pression Intracrânienne)."
À partir de quelle valeur définit-on une hypertension intracrânienne (HTIC) chez l'adulte ?,Lorsque la PIC est supérieure à $15\text{ mmHg}$.
Quel est l'effet du $CO_2$ sur les vaisseaux cérébraux ?,C'est un puissant vasodilatateur (une hausse du $CO_2$ augmente le débit sanguin cérébral).
Entre quelles valeurs de PAM l'autorégulation cérébrale maintient-elle un débit constant ?,Entre $50$ et $150\text{ mmHg}$.
Quelle structure attache la moëlle épinière au coccyx ?,Le filum terminal (prolongement de la pie-mère).
Comment est organisée la substance grise dans la moëlle épinière ?,"Elle est située au centre, en forme de papillon ou de 'H'."
Quel nerf crânien est responsable de l'audition et de l'équilibre ?,Le nerf vestibulo-cochléaire (VIII).
Quels nerfs rachidiens forment le plexus sacré ?,S1 à S3.
Quel est le rôle principal de la barrière hémato-encéphalique ?,Protéger le cerveau des substances potentiellement nocives circulant dans le sang.
