Tout polytraumatisé doit être considéré comme un traumatisé _____ jusqu'à preuve du contraire.,vertébro-médullaire
Quel est l'objectif principal de l'immobilisation précoce du rachis ?,Prévenir l'apparition ou l'aggravation d'une compression médullaire.
Quel est le taux d'incidence annuel des traumatismes médullaires par million d'habitants ?,40 à 50 cas.
Quels sont les deux pics d'incidence des traumatismes du rachis ?,16-25 ans et les plus de 50 ans.
Quel est le ratio homme/femme pour les traumatismes médullaires ?,3 à 4 hommes pour 1 femme.
Quelle est l'étiologie la plus fréquente des traumatismes du rachis (40 à 45% des cas) ?,Les accidents de la voie publique (AVP).
Terme : Paraplégie,Définition : Déficit moteur des deux membres inférieurs.
Terme : Tétraplégie,Définition : Déficit moteur intéressant les quatre membres.
Comment définit-on une lésion médullaire 'complète' ?,L'abolition de toute motricité volontaire et de toute sensibilité sous-lésionnelle.
Combien de vertèbres composent le rachis de l'adulte ?,26 os.
Le rachis cervical présente une courbure _____ vers l'arrière.,concave
Le rachis dorsal présente une courbure _____ vers l'arrière.,convexe
Quel est le nom de la première vertèbre cervicale (C1) ?,L'atlas.
Quelle structure de l'axis (C2) permet la rotation latérale de la tête ?,L'apophyse odontoïde (ou dent de l'axis).
"Dans un 'Whip Last Injury', quelle partie de l'axis est responsable du traumatisme du tronc cérébral ?",La dent de l'axis.
Quel dermatome correspond à la face antérieure de l'épaule ?,C4
Quel dermatome correspond au bord cubital de la main ?,C8
Quel dermatome correspond au niveau des mamelons ?,T4
Quel dermatome correspond au niveau de l'ombilic ?,T10
Quel dermatome correspond au niveau de l'aine ?,T12
Quel dermatome correspond au niveau du genou ?,L3
Quel dermatome correspond au niveau de l'hallux (gros orteil) ?,L5
Où se situent les barorécepteurs de haute pression intervenant dans la boucle de régulation cardiaque ?,Dans la crosse aortique et le glomus carotidien.
Quel système nerveux autonome est activé lors des phénomènes de stress ?,Le système sympathique.
Où se localisent majoritairement les lésions disco-ligamentaires (75%) ?,Au niveau du rachis cervical.
Donnez un exemple de stade de gravité croissant des lésions disco-corporéales après la fracture simple.,La fracture tassement ou l'éclatement vertébral ('burst fracture').
Quel nom porte la fracture mixte spécifique du rachis dorso-lombaire ?,La fracture de Chance.
L'aggravation d'une lésion médullaire par une PEC inadaptée est qualifiée d'_____.,auto-aggravation
Quelle est la durée habituelle de la phase de choc spinal ?,4 à 6 semaines.
"Lors de la phase d'automatisme médullaire, la tétraplégie devient _____.",spasmodique (avec hypertonie élastique).
Quel signe clinique cutané peut indiquer une lésion médullaire complète en phase aiguë ?,Le priapisme.
Une lésion située entre C3 et C5 entraîne une atteinte de quel nerf ?,Le nerf phrénique.
Quel est l'effet d'une lésion au niveau S2 sur la sensibilité ?,Une anesthésie en selle.
Quelle est la réponse motrice à la douleur dans une lésion médullaire cervicale complète ?,Présente au-dessus de la clavicule mais absente en-dessous.
Syndrome : Syndrome de Brown-Séquard,Définition : Hémiplégie d'un côté et hémianesthésie thermo-algique du côté opposé.
