Quelle est la définition clinique de l'arrêt cardiaque (AC) ?,Une interruption brutale de l'activité mécanique efficace du cœur et de la ventilation.
Quel est le nombre approximatif d'arrêts cardiaques par an en France ?,"$46\,000$ cas par an."
Quel pourcentage des arrêts cardiaques est d'origine médicale ?,$88\%$ des cas.
"Sans réanimation cardiopulmonaire (RCP), de quel pourcentage la survie diminue-t-elle par minute ?",Elle diminue de $10\%$ par minute.
"Avec une réanimation cardiopulmonaire (RCP), quel est le taux de diminution de la survie par minute ?",Elle diminue de $3$ à $4\%$ par minute.
Quel est le taux de survie globale à $1$ an avec une issue neurologique favorable après un AC ?,Il est inférieur à $2\%$.
Quel est le premier maillon de la chaîne de survie ?,La reconnaissance précoce et l'alerte (SAMU-Centre $15$).
"Dans la chaîne de survie, quel est l'objectif principal de la réanimation cardiopulmonaire de base (RCPB) ?","Gagner du temps (""to buy time"")."
Quel est l'objectif du troisième maillon de la chaîne de survie (défibrillation précoce) ?,"Redémarrer le cœur (""to restart the heart"")."
Quel est l'objectif des soins post-réanimation dans la chaîne de survie ?,Restaurer la qualité de vie.
Quels sont les deux critères diagnostiques de l'AC pour un secouriste non-professionnel ?,La victime ne répond pas et ne respire pas (ou respire anormalement avec des gasps).
Pourquoi le massage cardiaque externe est-il prioritaire dans un AC d'origine non asphyxique ?,Pour faire circuler l'oxygène déjà contenu dans les vaisseaux.
Quelle est la durée maximale autorisée pour interrompre les compressions thoraciques lors de la ventilation ?,Moins de $5$ à $10$ secondes.
Quelle est la fréquence recommandée pour les compressions thoraciques lors d'une RCPB ?,$100$ à $120$ par minute.
Quelle doit être la profondeur (dépression) des compressions thoraciques chez l'adulte ?,Environ $5$ cm (sans dépasser $6$ cm).
Quelle précaution doit être prise lors de la phase de décompression du massage cardiaque ?,Une relaxation complète du thorax pour permettre le remplissage cardiaque.
Quel est le rapport idéal entre le temps de compression et le temps de décompression ?,Le temps de compression doit être égal au temps de décompression.
Quel est l'impact de l'utilisation d'une planche à masser (backboard) sur la profondeur des compressions par rapport à un matelas ferme ?,Elle permet une augmentation minime d'environ $2$ mm de la profondeur.
Pourquoi est-il crucial de pratiquer la RCP si la défibrillation tarde plus de $4$ à $5$ minutes ?,Pour reperfuser le myocarde et rendre la défibrillation plus efficace.
Quelle est la fonction principale d'un défibrillateur automatisé externe (DAE) ?,L'interprétation automatique du rythme cardiaque pour décider de la nécessité d'un choc.
Quand doit-on envisager une double défibrillation séquentielle (DSED) ?,Dès que le troisième choc électrique externe (CEE) est inefficace en cas de fibrillation ventriculaire (FV) réfractaire.
"Selon l'étude du NEJM (2022), quel est le taux de survie à la sortie de l'hôpital avec la stratégie DSED ?","$30,4\%$."
"Après la délivrance d'un choc électrique, quelle est la conduite à tenir immédiate ?",Reprendre la RCP pendant $2$ minutes avant l'analyse rythmique suivante.
Dans quel type d'arrêt cardiaque les manœuvres ventilatoires sont-elles jugées essentielles d'emblée ?,Les arrêts cardiaques d'origine asphyxique.
Quel est le rythme alterné recommandé entre compressions thoraciques (CT) et insufflations ?,$30$ CT pour $2$ insufflations.
Quelle est la méthode de référence pour le contrôle des voies aériennes lors d'une réanimation spécialisée ?,L'intubation trachéale.
Quelle est la valeur pronostique d'une $ETCO_{2}$ inférieure à $10$ mmHg après $20$ minutes de réanimation spécialisée ?,Elle indique une valeur pronostique péjorative (faible chance de survie).
Pourquoi une fréquence ventilatoire trop élevée est-elle délétère lors d'un AC ?,"Elle augmente les pressions intra-thoraciques, ce qui diminue le retour veineux."
Quelle est la durée recommandée pour une tentative de pose de voie veineuse périphérique (VVP) avant d'envisager une alternative ?,$30$ secondes.
Quelle est l'alternative de première intention en cas d'échec de la voie veineuse périphérique lors d'un AC ?,La voie intra-osseuse (IO).
Quels sont les deux sites principaux pour un accès intra-osseux chez l'adulte ?,Le tibia proximal (interne) et le fémur distal (externe).
"Quelle précaution technique résume l'expression ""No flush = No flow"" pour la voie intra-osseuse ?",Il faut purger et rincer la ligne pour assurer un débit efficace.
Quelles sont les trois indications principales de l'adrénaline lors d'un AC ?,"L'asystolie, la fibrillation ventriculaire/tachycardie ventriculaire sans pouls (après échec des chocs) et la dissociation électromécanique."
Quel est l'effet de l'adrénaline sur le pronostic neurologique à long terme selon le support ?,Elle peut avoir un effet délétère sur le pronostic neurologique malgré l'augmentation du taux de reprise d'activité cardiaque spontanée.
Quelle modification de dose est nécessaire si l'adrénaline est administrée par voie intra-trachéale ?,Il faut multiplier la dose par $2$ ou $3$.
Quel médicament est contre-indiqué en cas d'AC chez un patient transplanté cardiaque ?,L'atropine.
"Quelles applications mobiles permettent la géolocalisation de ""volontaires"" pour intervenir sur un AC ?","""SAUV-Life"" ou ""Bon samaritain""."
Comment vérifie-t-on cliniquement la position d'une sonde d'intubation ?,"Par la visualisation directe, l'auscultation symétrique des deux poumons et de l'épigastre, et le monitorage de l'$ETCO_{2}$."
Pendant combien de temps au maximum une aiguille intra-osseuse peut-elle rester en place ?,Moins de $24$ heures.
"Dans la réanimation spécialisée, quel geste doit être priorisé pour éviter l'inhalation et faciliter la ventilation ?",L'intubation trachéale (méthode de référence).
